"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",104,2077,5307,2070,97,2085,112
"2",143,1988,7441,1981,136,1996,151
"3",512,910,13166,903,505,918,520
"4",777,274,9127,267,770,282,785
"5",805,316,5364,309,798,324,813
"6",857,1299,2338,1292,850,1307,865
"7",912,1135,4631,1128,905,1143,920
"8",923,1327,4437,1320,916,1335,931
"9",934,1873,16050,1866,927,1881,942
"10",1034,1174,3707,1167,1027,1182,1042
"11",1081,1435,3613,1428,1074,1443,1089
"12",1126,1990,7103,1983,1119,1998,1134
"13",1132,1422,2254,1415,1125,1430,1140
"14",1132,1494,18287,1487,1125,1502,1140
"15",1150,1279,3162,1272,1143,1287,1158
"16",1178,1318,16930,1311,1171,1326,1186
"17",1205,886,3421,879,1198,894,1213
"18",1207,1499,2922,1492,1200,1507,1215
"19",1214,1321,4805,1314,1207,1329,1222
"20",1228,1254,1048575,1247,1221,1262,1236
"21",1303,1003,2297,996,1296,1011,1311
"22",1338,1508,7988,1501,1331,1516,1346
"23",1372,1067,7315,1060,1365,1075,1380
"24",1394,984,2111,977,1387,992,1402
"25",1439,1404,3129,1397,1432,1412,1447
"26",1452,983,3856,976,1445,991,1460
"27",1482,1351,5555,1344,1475,1359,1490
"28",1491,1314,2957,1307,1484,1322,1499
"29",1510,1443,3100,1436,1503,1451,1518
"30",1530,1240,4267,1233,1523,1248,1538
"31",1538,1000,3761,993,1531,1008,1546
"32",1547,496,12345,489,1540,504,1555
"33",1817,2300,4876,2293,1810,2308,1825
"34",2024,1998,4878,1991,2017,2006,2032
"35",2345,2223,15956,2216,2338,2231,2353
"36",2375,139,6814,132,2368,147,2383
