"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",104,2077,21343,2070,97,2085,112
"2",143,1988,29882,1981,136,1996,151
"3",295,55,727,48,288,63,303
"4",512,910,27925,903,505,918,520
"5",625,1178,1071,1171,618,1186,633
"6",680,1198,1268,1191,673,1206,688
"7",694,1360,1419,1353,687,1368,702
"8",712,264,9058,257,705,272,720
"9",748,947,686,940,741,955,756
"10",764,152,46289,145,757,160,772
"11",765,852,1512,845,758,860,773
"12",777,274,45678,267,770,282,785
"13",792,1288,4116,1281,785,1296,800
"14",805,316,51648,309,798,324,813
"15",805,1103,915,1096,798,1111,813
"16",830,1367,5027,1360,823,1375,838
"17",862,1563,570,1556,855,1571,870
"18",876,1165,4313,1158,869,1173,884
"19",900,986,5895,979,893,994,908
"20",901,726,771,719,894,734,909
"21",930,1040,1247,1033,923,1048,938
"22",932,1188,2433,1181,925,1196,940
"23",934,1873,78808,1866,927,1881,942
"24",953,1486,1130,1479,946,1494,961
"25",1006,1060,2460,1053,999,1068,1014
"26",1007,873,5084,866,1000,881,1015
"27",1012,1485,18139,1478,1005,1493,1020
"28",1045,885,1615,878,1038,893,1053
"29",1062,901,2903,894,1055,909,1070
"30",1078,918,1076,911,1071,926,1086
"31",1084,977,1107,970,1077,985,1092
"32",1084,1381,26104,1374,1077,1389,1092
"33",1087,1429,10770,1422,1080,1437,1095
"34",1089,956,1593,949,1082,964,1097
"35",1090,1594,975,1587,1083,1602,1098
"36",1124,1549,517,1542,1117,1557,1132
"37",1126,1990,48119,1983,1119,1998,1134
"38",1145,1362,1912,1355,1138,1370,1153
"39",1145,1542,683,1535,1138,1550,1153
"40",1185,1095,15448,1088,1178,1103,1193
"41",1187,1282,628,1275,1180,1290,1195
"42",1188,1849,892,1842,1181,1857,1196
"43",1203,870,2196,863,1196,878,1211
"44",1207,1521,12004,1514,1200,1529,1215
"45",1213,908,913,901,1206,916,1221
"46",1223,947,1219,940,1216,955,1231
"47",1228,1254,1048575,1247,1221,1262,1236
"48",1255,1357,558,1350,1248,1365,1263
"49",1275,318,2622,311,1268,326,1283
"50",1282,1198,13790,1191,1275,1206,1290
"51",1297,1013,2238,1006,1290,1021,1305
"52",1308,1553,12308,1546,1301,1561,1316
"53",1321,1798,559,1791,1314,1806,1329
"54",1350,1606,8744,1599,1343,1614,1358
"55",1351,1272,2641,1265,1344,1280,1359
"56",1355,1386,8182,1379,1348,1394,1363
"57",1356,863,1592,856,1349,871,1364
"58",1361,1637,3959,1630,1354,1645,1369
"59",1366,962,5906,955,1359,970,1374
"60",1415,1179,1745,1172,1408,1187,1423
"61",1426,1780,1295,1773,1419,1788,1434
"62",1433,1507,3722,1500,1426,1515,1441
"63",1444,1698,1294,1691,1437,1706,1452
"64",1447,1451,677,1444,1440,1459,1455
"65",1462,799,49339,792,1455,807,1470
"66",1463,678,956,671,1456,686,1471
"67",1463,1328,29830,1321,1456,1336,1471
"68",1474,1425,4588,1418,1467,1433,1482
"69",1484,1131,666,1124,1477,1139,1492
"70",1490,1110,5295,1103,1483,1118,1498
"71",1497,1089,24289,1082,1490,1097,1505
"72",1503,1068,696,1061,1496,1076,1511
"73",1503,1193,541,1186,1496,1201,1511
"74",1504,1533,3806,1526,1497,1541,1512
"75",1527,1303,1724,1296,1520,1311,1535
"76",1535,1214,590,1207,1528,1222,1543
"77",1547,496,60265,489,1540,504,1555
"78",1550,795,736,788,1543,803,1558
"79",1583,1631,564,1624,1576,1639,1591
"80",1585,1452,829,1445,1578,1460,1593
"81",1597,1021,4172,1014,1590,1029,1605
"82",1605,937,512,930,1598,945,1613
"83",1607,1235,3070,1228,1600,1243,1615
"84",1625,1635,2347,1628,1618,1643,1633
"85",1641,829,2088,822,1634,837,1649
"86",1647,1305,1663,1298,1640,1313,1655
"87",1655,1213,2210,1206,1648,1221,1663
"88",1682,1578,578,1571,1675,1586,1690
"89",1696,1285,524,1278,1689,1293,1704
"90",1699,1083,992,1076,1692,1091,1707
"91",1724,144,8886,137,1717,152,1732
"92",1754,1242,1577,1235,1747,1250,1762
"93",1762,1532,1351,1525,1755,1540,1770
"94",1770,1787,2378,1780,1763,1795,1778
"95",1817,2300,33507,2293,1810,2308,1825
"96",1939,1254,1757,1247,1932,1262,1947
"97",2024,1998,9258,1991,2017,2006,2032
"98",2189,1580,7019,1573,2182,1588,2197
"99",2323,2273,20774,2266,2316,2281,2331
"100",2344,2274,18057,2267,2337,2282,2352
"101",2345,2223,89759,2216,2338,2231,2353
"102",2345,2302,2415,2295,2338,2310,2353
"103",2376,138,33521,131,2369,146,2384
"104",2380,337,22992,330,2373,345,2388
