"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",104,2077,5989,2070,97,2085,112
"2",143,1988,10442,1981,136,1996,151
"3",512,910,13283,903,505,918,520
"4",625,1178,8353,1171,618,1186,633
"5",764,152,5495,145,757,160,772
"6",777,274,8901,267,770,282,785
"7",805,316,6847,309,798,324,813
"8",934,1873,14885,1866,927,1881,942
"9",972,1078,4291,1071,965,1086,980
"10",972,1176,10867,1169,965,1184,980
"11",1004,1292,8228,1285,997,1300,1012
"12",1035,1292,11491,1285,1028,1300,1043
"13",1065,1080,15070,1073,1058,1088,1073
"14",1081,1016,9745,1009,1074,1024,1089
"15",1111,1210,8171,1203,1104,1218,1119
"16",1126,1990,7469,1983,1119,1998,1134
"17",1128,1002,4608,995,1121,1010,1136
"18",1228,1254,1048575,1247,1221,1262,1236
"19",1238,1516,11367,1509,1231,1524,1246
"20",1263,1155,2183,1148,1256,1163,1271
"21",1264,1108,12112,1101,1257,1116,1272
"22",1268,980,3123,973,1261,988,1276
"23",1320,1567,2166,1560,1313,1575,1328
"24",1367,940,3902,933,1360,948,1375
"25",1424,1411,6347,1404,1417,1419,1432
"26",1448,1511,3711,1504,1441,1519,1456
"27",1452,1227,2123,1220,1445,1235,1460
"28",1469,1213,3932,1206,1462,1221,1477
"29",1490,1101,2671,1094,1483,1109,1498
"30",1507,1587,3509,1580,1500,1595,1515
"31",1524,1377,16994,1370,1517,1385,1532
"32",1547,496,12392,489,1540,504,1555
"33",1556,1210,5017,1203,1549,1218,1564
"34",1817,2300,5170,2293,1810,2308,1825
"35",2345,2223,16233,2216,2338,2231,2353
"36",2375,139,6829,132,2368,147,2383
