"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",104,2077,5989,2070,97,2085,112
"2",143,1988,10442,1981,136,1996,151
"3",512,910,13283,903,505,918,520
"4",625,1178,8353,1171,618,1186,633
"5",634,1087,1016,1080,627,1095,642
"6",712,264,2881,257,705,272,720
"7",764,152,5495,145,757,160,772
"8",777,274,8901,267,770,282,785
"9",805,316,6847,309,798,324,813
"10",826,1301,2374,1294,819,1309,834
"11",842,1145,582,1138,835,1153,850
"12",850,856,560,849,843,864,858
"13",858,1465,893,1458,851,1473,866
"14",868,874,633,867,861,882,876
"15",892,1349,1373,1342,885,1357,900
"16",925,1210,1112,1203,918,1218,933
"17",934,1873,14885,1866,927,1881,942
"18",955,1012,732,1005,948,1020,963
"19",972,1078,4291,1071,965,1086,980
"20",972,1176,10867,1169,965,1184,980
"21",1004,1292,8228,1285,997,1300,1012
"22",1020,1326,561,1319,1013,1334,1028
"23",1035,1292,11491,1285,1028,1300,1043
"24",1051,1415,951,1408,1044,1423,1059
"25",1065,1080,15070,1073,1058,1088,1073
"26",1065,1176,1274,1169,1058,1184,1073
"27",1081,1016,9745,1009,1074,1024,1089
"28",1082,935,1512,928,1075,943,1090
"29",1111,1210,8171,1203,1104,1218,1119
"30",1126,1990,7469,1983,1119,1998,1134
"31",1128,1002,4608,995,1121,1010,1136
"32",1142,1115,728,1108,1135,1123,1150
"33",1228,1254,1048575,1247,1221,1262,1236
"34",1233,758,766,751,1226,766,1241
"35",1236,1010,1340,1003,1229,1018,1244
"36",1238,1516,11367,1509,1231,1524,1246
"37",1252,995,1375,988,1245,1003,1260
"38",1263,1155,2183,1148,1256,1163,1271
"39",1264,1108,12112,1101,1257,1116,1272
"40",1268,980,3123,973,1261,988,1276
"41",1275,318,1924,311,1268,326,1283
"42",1278,1189,859,1182,1271,1197,1286
"43",1295,1357,814,1350,1288,1365,1303
"44",1320,1567,2166,1560,1313,1575,1328
"45",1338,887,850,880,1331,895,1346
"46",1340,1783,818,1776,1333,1791,1348
"47",1367,940,3902,933,1360,948,1375
"48",1372,1598,533,1591,1365,1606,1380
"49",1424,1411,6347,1404,1417,1419,1432
"50",1448,1511,3711,1504,1441,1519,1456
"51",1452,1227,2123,1220,1445,1235,1460
"52",1469,1213,3932,1206,1462,1221,1477
"53",1490,1101,2671,1094,1483,1109,1498
"54",1507,1587,3509,1580,1500,1595,1515
"55",1523,922,703,915,1516,930,1531
"56",1524,1377,16994,1370,1517,1385,1532
"57",1547,496,12392,489,1540,504,1555
"58",1556,1210,5017,1203,1549,1218,1564
"59",1576,1146,1017,1139,1569,1154,1584
"60",1653,1372,904,1365,1646,1380,1661
"61",1724,144,690,137,1717,152,1732
"62",1817,2300,5170,2293,1810,2308,1825
"63",1958,802,819,795,1951,810,1966
"64",2024,1998,3230,1991,2017,2006,2032
"65",2323,2273,4206,2266,2316,2281,2331
"66",2344,2274,1849,2267,2337,2282,2352
"67",2345,2223,16233,2216,2338,2231,2353
"68",2345,2302,984,2295,2338,2310,2353
"69",2375,139,6829,132,2368,147,2383
"70",2380,337,4108,330,2373,345,2388
