"","XP","YP","Int_im_1","Int_im_2","Int_im_3","Int_im_4","Int_im_5","Int_im_6","Int_im_7","Int_im_8","Int_im_9","Int_im_10","Int_im_11","Int_im_12","Int_im_13","Int_im_14","Int_im_15","Int_im_16","Int_im_17","Int_im_18","Int_im_19","Int_im_20","Int_im_21","Int_im_22","Int_im_23","Int_im_24","Int_im_25","Int_im_26","Int_im_27","Int_im_28","Int_im_29","Int_im_30","Int_im_31","Int_im_32","Int_im_33","Int_im_34","Int_im_35","Int_im_36","Int_im_37","Int_im_38","Int_im_39","Int_im_40","Int_im_41","Int_im_42","Int_im_43","Int_im_44","Int_im_45","Int_im_46","Int_im_47","Int_im_48","Int_im_49","Int_im_50","CV"
"1",104,2077,6072,6335,6292,6263,6619,6093,6754,5821,6100,5869,5882,5667,5890,5723,6197,6147,6235,5896,6626,6192,6253,5899,5890,5681,6426,6332,6703,6186,6980,6457,6269,6126,6430,5968,5763,6070,5828,6080,6032,6239,5809,6033,6498,6223,5993,6649,6538,6353,5894,6088,0.0484174389187306
"2",143,1988,10509,10857,11095,10855,10768,10632,10591,10616,10934,10952,10681,10662,11116,10812,10927,10531,11071,10565,10582,11154,10484,10743,10545,11083,11292,11058,11160,11084,10841,11145,10592,10935,10780,11049,10983,10977,11271,10719,10736,10637,10568,10774,11034,11068,11037,11087,11106,10913,10818,10896,0.0201579291117385
"3",512,910,13492,13802,13615,13757,13917,13961,14231,13737,13946,13692,13972,13723,13588,13705,13566,13911,14057,13617,13529,13837,14022,13626,13971,13714,14114,13920,14023,13638,13656,13726,13691,13531,13984,13812,13199,13452,13982,13587,13937,13489,13622,13819,13650,13605,13665,13473,13337,13757,13880,13798,0.0150789791812274
"4",625,1178,8798,7701,6214,6512,7047,8198,8088,7711,8838,7952,8232,8280,8716,8359,7217,7947,7640,8488,7750,8392,8652,8253,7587,7517,8297,7741,7455,7927,8058,8160,7942,7217,7105,7974,7058,7201,7514,7063,7958,7471,8040,7179,6739,7483,7935,8479,8799,8556,9015,9027,0.0813960993447643
"5",634,1087,1435,1541,1142,1269,1040,1358,1355,1344,1522,1505,1370,1655,1483,1347,1378,1658,1990,1561,1443,1453,1376,1172,1336,1252,1257,1414,1454,1274,1610,1387,1585,1165,1278,1464,1327,1407,1289,1322,1406,1424,1248,1411,1165,1282,1161,1256,1277,1581,1632,1507,0.118681207362498
"6",712,264,3029,952,1446,2274,1567,1600,1894,1235,830,1225,1459,2055,1375,1818,1960,983,1897,1672,2436,690,2044,2084,1679,1706,1982,1852,1927,1306,1786,817,1254,998,1219,2643,897,1901,1473,1079,1695,1456,728,1249,837,2170,1458,684,1035,911,1703,1567,0.341737051216783
"7",764,152,5647,6151,6863,5910,6031,6180,6193,6246,6547,6834,6898,7333,7451,5974,5488,6610,6222,6312,6494,7010,6820,6181,5714,5314,5918,5266,5488,6232,6440,5841,6066,7296,8760,7021,7272,7769,7541,7368,6317,6454,6154,7973,7654,7642,7488,4935,4888,6204,7511,6663,0.124954076762639
"8",777,274,9050,8917,8951,8733,9165,8829,8626,8679,8752,9356,8712,8987,8309,8965,8969,8958,9595,9147,9100,8965,9310,9103,9069,9241,9006,9038,9526,8978,9184,9086,8810,9325,9208,9059,9279,9313,8752,9309,9200,8910,9275,8908,9197,9203,9136,8603,8741,8695,9287,8885,0.0277471975782588
"9",805,316,7027,7322,7344,7292,7610,7179,7365,7517,7422,7386,7474,7865,7744,7624,7593,7485,7601,7316,7533,7549,7229,7975,7237,7393,7617,7192,7473,7471,7760,7672,7922,7522,7451,8024,7865,7501,7478,7420,7331,7885,6257,7362,7141,7555,7531,7221,7373,7545,7591,7821,0.0377459652558035
"10",826,1301,3913,4061,4116,3848,3797,3784,4046,4191,4151,4201,4250,4088,4184,4173,4053,4048,3954,3887,4189,3758,4019,3773,3935,3991,3744,4013,4182,4047,4278,4272,4292,4392,4488,4384,4388,4247,4410,4501,4119,4053,3912,4055,4004,3879,3758,3639,3938,3838,3667,3801,0.0530670427699066
