"","Coor.1","Coor.2","Peak","MeasB.1","MeasB.2","MeasB.3","MeasB.4"
"1",104,2077,21343,2070,97,2085,112
"2",143,1988,29882,1981,136,1996,151
"3",512,910,27925,903,505,918,520
"4",712,264,9058,257,705,272,720
"5",764,152,46289,145,757,160,772
"6",777,274,45678,267,770,282,785
"7",792,1288,4116,1281,785,1296,800
"8",805,316,51648,309,798,324,813
"9",830,1367,5027,1360,823,1375,838
"10",876,1165,4313,1158,869,1173,884
"11",900,986,5895,979,893,994,908
"12",932,1188,2433,1181,925,1196,940
"13",934,1873,78808,1866,927,1881,942
"14",1007,873,5084,866,1000,881,1015
"15",1012,1485,18139,1478,1005,1493,1020
"16",1045,885,1615,878,1038,893,1053
"17",1062,901,2903,894,1055,909,1070
"18",1078,918,1076,911,1071,926,1086
"19",1084,977,1107,970,1077,985,1092
"20",1084,1381,26104,1374,1077,1389,1092
"21",1087,1429,10770,1422,1080,1437,1095
"22",1089,956,1593,949,1082,964,1097
"23",1090,1594,975,1587,1083,1602,1098
"24",1124,1549,517,1542,1117,1557,1132
"25",1126,1990,48119,1983,1119,1998,1134
"26",1145,1362,1912,1355,1138,1370,1153
"27",1185,1095,15448,1088,1178,1103,1193
"28",1203,870,2196,863,1196,878,1211
"29",1207,1521,12004,1514,1200,1529,1215
"30",1213,908,913,901,1206,916,1221
"31",1223,947,1219,940,1216,955,1231
"32",1228,1254,1048575,1247,1221,1262,1236
"33",1282,1198,13790,1191,1275,1206,1290
"34",1297,1013,2238,1006,1290,1021,1305
"35",1308,1553,12308,1546,1301,1561,1316
"36",1350,1606,8744,1599,1343,1614,1358
"37",1355,1386,8182,1379,1348,1394,1363
"38",1356,863,1592,856,1349,871,1364
"39",1361,1637,3959,1630,1354,1645,1369
"40",1366,962,5906,955,1359,970,1374
"41",1415,1179,1745,1172,1408,1187,1423
"42",1426,1780,1295,1773,1419,1788,1434
"43",1433,1507,3722,1500,1426,1515,1441
"44",1447,1451,677,1444,1440,1459,1455
"45",1462,799,49339,792,1455,807,1470
"46",1463,1328,29830,1321,1456,1336,1471
"47",1474,1425,4588,1418,1467,1433,1482
"48",1490,1110,5295,1103,1483,1118,1498
"49",1497,1089,24289,1082,1490,1097,1505
"50",1503,1068,696,1061,1496,1076,1511
"51",1504,1533,3806,1526,1497,1541,1512
"52",1527,1303,1724,1296,1520,1311,1535
"53",1547,496,60265,489,1540,504,1555
"54",1597,1021,4172,1014,1590,1029,1605
"55",1607,1235,3070,1228,1600,1243,1615
"56",1625,1635,2347,1628,1618,1643,1633
"57",1655,1213,2210,1206,1648,1221,1663
"58",1724,144,8886,137,1717,152,1732
"59",1817,2300,33507,2293,1810,2308,1825
"60",2024,1998,9258,1991,2017,2006,2032
"61",2189,1580,7019,1573,2182,1588,2197
"62",2323,2273,20774,2266,2316,2281,2331
"63",2344,2274,18057,2267,2337,2282,2352
"64",2345,2223,89759,2216,2338,2231,2353
"65",2376,138,33521,131,2369,146,2384
"66",2380,337,22992,330,2373,345,2388
