XP,YP,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74,I75,I76,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I90,I91,I92,I93,I94,I95,I96,I97,I98
143,1988,30118,29492,29182,29762,31034,29354,29557,27954,29521,27805,29111,29826,28489,28877,30404,29171,31082,29505,29541,27330,28177,28815,29452,30400,31373,30203,31085,32621,32572,30702,30348,31323,31948,30560,29801,31207,30803,31713,33675,32445,30630,30026,28351,29951,30269,29158,27526,29072,28835,28524,29679,28602,30717,29626,29034,30461,30376,32489,29029,29183,30982,28771,29896,29469,29111,28912,30094,32613,32170,29788,29024,29375,29703,29356,28770,29829,27846,29703,29331,27366,28543,29167,28553,27975,29655,30895,31072,30109,29581,30172,31708,30529,28896,30169,28356,29863,29402,27698,29473
512,910,28532,22847,22957,20616,26727,27720,26935,27151,29511,27485,32472,30418,36591,29333,29524,31340,29616,30160,30963,32751,32494,33977,34737,36696,34847,33645,31916,30874,29793,29910,36082,33051,30039,32546,34641,36128,33818,36030,39111,40417,40387,34389,31412,33437,33203,32625,31371,31724,33287,30929,31030,33954,33091,29090,33253,37876,36515,37362,31704,33137,37118,38340,40101,41612,38631,42208,39318,36568,43381,41774,41869,40185,35983,34312,33690,32261,31311,29862,31574,33388,37479,35329,36101,33523,36360,35066,34908,37220,35452,33521,31016,34100,33580,33681,32873,32309,31032,30410,28247
680,1198,4133,3980,3929,4073,4212,4047,3966,4087,3831,4003,4100,3855,4096,4101,4321,3913,4075,4049,4104,4106,4060,4186,4052,3863,3995,4144,4088,4067,4126,4085,4086,3983,4008,3998,4176,4257,4031,3990,4267,4106,4006,4202,4316,4020,3871,3869,4071,4077,4102,4046,4242,4213,4138,4073,4086,4075,4132,4062,3732,3919,3939,4145,4154,3766,4067,4147,3817,3847,3899,4092,4028,4170,4050,4203,4197,4184,3813,4078,4245,4180,4231,4127,4252,4235,4153,4125,4030,4209,4243,4221,4169,4210,4043,3990,3946,3773,4086,4159,4353
694,1360,4862,4727,4869,4730,4793,4843,4802,4867,4784,4867,4836,4920,4769,4850,4753,4965,4863,4715,4820,4821,4883,4906,4835,4738,4778,4814,4788,4825,4741,4762,4872,4680,4942,4888,4726,4695,4769,4808,4645,4878,4855,4676,4569,4633,4796,4928,4946,4821,4783,4722,4683,4698,4561,4769,4785,4778,4852,4714,4944,4896,4823,4839,4684,4886,4848,4665,4772,4897,4870,4852,4747,4698,4831,4703,4708,4778,4764,4782,4755,4785,4699,4652,4678,4622,4687,4700,4717,4673,4711,4581,4671,4571,4709,4633,4766,4783,4661,4752,4606
764,852,4248,4294,4167,4195,4382,4410,4382,4269,4194,4264,4343,4332,4205,4223,4171,4326,4401,4331,4330,4289,4380,4459,4185,4428,4139,4152,4256,4288,4285,4278,4433,4221,4261,4344,4266,4311,4504,4328,4387,4341,4359,4170,4298,4089,4258,4220,4214,4291,4157,4378,4335,4236,4396,4190,4087,4303,4092,4311,4077,4410,4134,4439,4098,3871,4135,4551,4073,4280,4093,4417,4292,4350,4159,4157,4222,4245,4208,4059,4102,4312,4368,4167,4261,4324,3991,4395,4087,4304,4144,4167,4334,4000,4255,4194,4165,3940,4167,4297,4254
777,274,46160,45429,45552,45293,45764,45360,45579,44053,44055,43422,43104,45267,44148,44686,44231,44192,44282,44887,45146,44202,45098,45418,44810,45651,44987,45997,44265,45268,44991,45732,44651,45163,44297,44055,44826,45284,44415,44934,45210,45786,44476,44729,43871,44676,42736,42476,43384,43899,43306,43856,44057,46197,46005,44018,44640,45142,44622,43355,43450,42715,43892,43931,45181,44739,44647,45624,44573,44133,44001,43235,43559,42827,43015,43866,44835,44037,43647,43990,42669,43588,43940,44753,43541,44272,43057,44448,44118,44594,43555,45191,44069,43682,43735,45091,44887,43230,44730,44008,43448
792,1289,11209,11893,11244,11443,11839,11487,11521,11472,11179,11374,11458,10923,11492,11477,11688,11283,11220,11534,11632,11387,11270,11367,11516,11194,11339,11427,11587,11296,11466,11289,11398,11256,11221,11038,11405,11764,11504,11443,11229,11254,11412,11406,11611,11285,10965,11024,11042,11303,11399,11191,11682,11277,11654,11256,11411,11170,11449,11180,10612,10854,10799,11078,11394,10856,11521,11368,11336,10984,10941,11182,10830,11372,10952,11332,11276,11070,10920,11161,11407,11277,11203,11455,11326,11515,11212,11323,11118,11514,11255,11462,11316,11429,11230,11087,11017,10830,11303,11238,11510
805,316,52210,52695,53597,54324,21429,47588,51211,53114,51651,49946,53775,52767,54992,54821,51853,48383,50477,53352,53894,53643,54280,52841,54737,52638,53448,52113,50876,49441,50508,50209,50816,52361,52738,20237,34454,24623,42482,54709,52849,52844,53072,52146,48148,53160,54300,52142,54131,52755,53175,54222,51978,50660,52358,52897,52371,53196,51955,52181,51499,51880,53411,53021,46966,21650,38188,51198,48695,49997,53403,53840,54393,52534,53184,52755,52683,52059,52896,49278,52221,52505,46488,43089,45532,50039,46979,43054,42967,43877,45860,43383,39261,38758,42249,44106,49229,45891,49660,50688,49584
830,1367,12914,12809,13178,12702,12800,12943,12941,13229,12965,13109,13162,13107,13093,12834,12757,13098,13254,12837,13066,13024,12912,13004,12910,13127,12709,12895,12832,12742,12785,12949,12927,13009,13009,13086,12779,12893,12775,12956,12839,13094,12858,12964,12752,12819,12803,13074,13141,12751,12982,12837,12866,12708,12970,12699,12914,12920,12579,12854,13121,13316,12757,12945,12667,12659,12789,12773,12892,12950,13040,12872,13175,13060,12784,12822,12768,12866,12685,12928,12717,12776,12641,12678,12599,12540,12812,12788,12589,12615,12761,12620,12760,12765,12659,12906,12573,13077,12617,12619,12800
876,1165,9013,8834,9166,9189,8727,9182,9278,9273,9554,9163,9284,9601,8929,9265,8689,9311,9244,8720,8993,8869,9273,9260,8978,9244,8988,9033,8962,9066,9079,9114,9202,9128,9390,9313,9028,8609,9012,9280,8931,9121,9190,8935,8638,9002,9499,9098,9222,8997,8827,9011,9176,8781,8764,8825,9195,9033,8614,8806,9718,9342,9305,9393,8553,9119,8836,9169,9208,9461,9379,9175,9314,8900,9245,8947,8802,8975,9177,8886,8362,8843,8881,8649,8700,8886,8838,8832,9081,8713,8872,8424,8898,8604,8951,9207,9321,9267,8822,9112,8686
